protein1 protein2 combined_score
7091.BGIBMGA000001-TA 7091.BGIBMGA010396-TA 373
7091.BGIBMGA000001-TA 7091.BGIBMGA003451-TA 281
7091.BGIBMGA000001-TA 7091.BGIBMGA012983-TA 165
7091.BGIBMGA000001-TA 7091.BGIBMGA000377-TA 171
7091.BGIBMGA000001-TA 7091.BGIBMGA001985-TA 250
7091.BGIBMGA000001-TA 7091.BGIBMGA009127-TA 295
7091.BGIBMGA000001-TA 7091.BGIBMGA001570-TA 210
7091.BGIBMGA000001-TA 7091.BGIBMGA004568-TA 445
7091.BGIBMGA000001-TA 7091.BGIBMGA004036-TA 519
7091.BGIBMGA000001-TA 7091.BGIBMGA012922-TA 416
7091.BGIBMGA000001-TA 7091.BGIBMGA002422-TA 183
7091.BGIBMGA000001-TA 7091.BGIBMGA001386-TA 210
7091.BGIBMGA000001-TA 7091.BGIBMGA009303-TA 355
7091.BGIBMGA000001-TA 7091.BGIBMGA005041-TA 545
7091.BGIBMGA000001-TA 7091.BGIBMGA005478-TA 646
7091.BGIBMGA000001-TA 7091.BGIBMGA012411-TA 218
7091.BGIBMGA000001-TA 7091.BGIBMGA006901-TA 250
7091.BGIBMGA000001-TA 7091.BGIBMGA005115-TA 256
7091.BGIBMGA000001-TA 7091.BGIBMGA013817-TA 360
7091.BGIBMGA000001-TA 7091.BGIBMGA001512-TA 183
7091.BGIBMGA000001-TA 7091.BGIBMGA004308-TA 540
7091.BGIBMGA000001-TA 7091.BGIBMGA005509-TA 201
7091.BGIBMGA000001-TA 7091.BGIBMGA005493-TA 166
7091.BGIBMGA000001-TA 7091.BGIBMGA013134-TA 201
7091.BGIBMGA000001-TA 7091.BGIBMGA000647-TA 175
7091.BGIBMGA000001-TA 7091.BGIBMGA010181-TA 372
7091.BGIBMGA000001-TA 7091.BGIBMGA008293-TA 506
7091.BGIBMGA000001-TA 7091.BGIBMGA010154-TA 183
7091.BGIBMGA000001-TA 7091.BGIBMGA009877-TA 425
7091.BGIBMGA000001-TA 7091.BGIBMGA006243-TA 278
7091.BGIBMGA000001-TA 7091.BGIBMGA011939-TA 649
7091.BGIBMGA000001-TA 7091.BGIBMGA002138-TA 150
7091.BGIBMGA000001-TA 7091.BGIBMGA003369-TA 540
7091.BGIBMGA000001-TA 7091.BGIBMGA002932-TA 360
7091.BGIBMGA000001-TA 7091.BGIBMGA010182-TA 372
7091.BGIBMGA000001-TA 7091.BGIBMGA006763-TA 206
